     0      4      2
     4      8      0
     8     12      1
    12     16      1
    16     20      0
    20     24      0
    24     28      2
    28     32      3
    32     36      0
    36     40      2
    40     44     14
    44     48     20
    48     52     17
    52     56     23
    56     60     28
    60     64     31
    64     68     39
    68     72     38
    72     76     28
    76     80     17
    80     84     13
    84     88      5
    88     92      8
    92     96      6
    96    100      1
